# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1781061942.104424953460693,0.01567,0.00022,0.00049,0.00023,0.00002,0.00314,0.01977
1781061942.137753009796143,0.01141,0.00014,0.00037,0.00020,0.00000,0.00286,0.01498
1781061942.171080112457275,0.00881,0.00014,0.00049,0.00013,0.00002,0.00287,0.01246
1781061942.204415082931519,0.00957,0.00014,0.00018,0.00013,0.00000,0.00306,0.01309
1781061942.237736940383911,0.00780,0.00016,0.00024,0.00014,0.00003,0.00317,0.01154
1781061942.271059036254883,0.00693,0.00019,0.00027,0.00014,0.00000,0.00341,0.01093
1781061942.304388046264648,0.00679,0.00017,0.00033,0.00015,0.00037,0.00316,0.01098
1781061942.337723016738892,0.01494,0.00015,0.00071,0.00019,0.00000,0.00374,0.01974
1781061942.371042013168335,0.00696,0.00014,0.00020,0.00019,0.00007,0.00296,0.01053
1781061942.437698125839233,0.00670,0.00017,0.00030,0.00029,0.00010,0.00349,0.01105
1781061942.471022129058838,0.00666,0.00016,0.00021,0.00017,0.00009,0.00335,0.01064
1781061942.504351139068604,0.00595,0.00014,0.00021,0.00017,0.00029,0.00327,0.01004
1781061954.002202987670898,0.01596,0.00018,0.00084,0.00000,0.00028,0.00335,0.02061
1781061957.401570081710815,0.01824,0.00019,0.00071,0.00000,0.00000,0.00317,0.02232
1781061957.434895038604736,0.01556,0.00018,0.00024,0.00000,0.00000,0.00331,0.01929
1781061957.468220949172974,0.01146,0.00028,0.00027,0.00000,0.00000,0.00301,0.01502
1781061957.501547098159790,0.01052,0.00017,0.00031,0.00000,0.00000,0.00399,0.01500
1781061957.534878015518188,0.01339,0.00019,0.00030,0.00000,0.00000,0.00328,0.01716
1781061957.568205118179321,0.01318,0.00017,0.00055,0.00000,0.00000,0.00326,0.01716
1781061957.601531028747559,0.00726,0.00018,0.00040,0.00000,0.00000,0.00394,0.01178
1781061957.634855985641479,0.00649,0.00018,0.00034,0.00000,0.00000,0.00326,0.01028
1781061957.668183088302612,0.00706,0.00019,0.00069,0.00000,0.00000,0.00315,0.01110
1781061957.701513051986694,0.00755,0.00022,0.00052,0.00000,0.00000,0.00318,0.01147
1781061957.734838962554932,0.01163,0.00019,0.00076,0.00000,0.00000,0.00344,0.01603
1781061957.768165111541748,0.01669,0.00017,0.00054,0.00000,0.00846,0.00399,0.02985
1781061963.667068004608154,0.01714,0.00022,0.00087,0.00001,0.00003,0.00328,0.02156
1781061963.700391054153442,0.01473,0.00020,0.00054,0.00000,0.00000,0.00331,0.01879
1781061964.133652925491333,0.01407,0.00020,0.00060,0.00000,0.00000,0.00376,0.01865
1781061964.166970968246460,0.01905,0.00019,0.00043,0.00000,0.00000,0.00334,0.02301
1781061964.200308084487915,0.01505,0.00018,0.00044,0.00000,0.00000,0.00424,0.01992
1781061964.233628988265991,0.01705,0.00018,0.00038,0.00000,0.00000,0.00375,0.02137
1781061964.266955137252808,0.01863,0.00019,0.00048,0.00000,0.00000,0.00401,0.02331
1781061964.300281047821045,0.01617,0.00023,0.00053,0.00000,0.00000,0.00332,0.02026
1781061964.333614110946655,0.01955,0.00022,0.00089,0.00000,0.00000,0.00349,0.02414
1781061964.366934061050415,0.01663,0.00019,0.00038,0.00000,0.00000,0.00362,0.02083
1781061964.400289058685303,0.01320,0.00018,0.00044,0.00000,0.00000,0.00406,0.01789
1781061964.433637142181396,0.01474,0.00019,0.00040,0.00000,0.00055,0.00347,0.01935
1781061964.466922998428345,0.01275,0.00019,0.00024,0.00006,0.00000,0.00411,0.01734
1781061964.500242948532104,0.01275,0.00016,0.00060,0.00005,0.00181,0.00375,0.01913
1781061964.533581018447876,0.01097,0.00017,0.00037,0.00004,0.00000,0.00367,0.01522
1781061964.566898107528687,0.01362,0.00016,0.00070,0.00000,0.00003,0.00367,0.01819
1781061964.600234985351562,0.01854,0.00015,0.00057,0.00000,0.00000,0.00391,0.02318
1781061964.633567094802856,0.01337,0.00017,0.00036,0.00000,0.00000,0.00386,0.01776
1781061964.666887044906616,0.00984,0.00016,0.00028,0.00000,0.00008,0.00339,0.01376
1781061964.700211048126221,0.01033,0.00015,0.00037,0.00000,0.00307,0.00343,0.01735
1781061964.733534097671509,0.01015,0.00019,0.00041,0.00027,0.00003,0.00399,0.01504
1781061964.766906976699829,0.00857,0.00017,0.00016,0.00026,0.00018,0.00339,0.01273
1781061964.800194025039673,0.00905,0.00015,0.00025,0.00026,0.00000,0.00325,0.01297
1781061965.999963045120239,0.00737,0.00016,0.00079,0.00001,0.00003,0.00295,0.01131
1781061966.233250141143799,0.01826,0.00018,0.00083,0.00000,0.00000,0.00312,0.02239
1781061966.266587018966675,0.01753,0.00017,0.00029,0.00000,0.00004,0.00332,0.02135
1781061966.299906015396118,0.01881,0.00017,0.00023,0.00000,0.00000,0.00330,0.02251
1781061968.499495983123779,0.01776,0.00019,0.00069,0.00000,0.00000,0.00327,0.02193
1781061968.532824039459229,0.01731,0.00019,0.00089,0.00000,0.00000,0.00330,0.02168
1781061968.566154003143311,0.01699,0.00019,0.00038,0.00000,0.00000,0.00350,0.02106
1781061968.599498033523560,0.01734,0.00019,0.00029,0.00000,0.00000,0.00327,0.02109
1781061968.632802963256836,0.01717,0.00019,0.00028,0.00000,0.00000,0.00328,0.02092
1781061975.064939975738525,0.01733,0.00022,0.00100,0.00000,0.00000,0.00328,0.02184
1781061975.964769124984741,0.01053,0.00023,0.00064,0.00000,0.00000,0.00385,0.01525
1781061979.730735063552856,0.01788,0.00025,0.00036,0.00000,0.00000,0.00365,0.02213
1781061979.764055013656616,0.01327,0.00027,0.00019,0.00000,0.00000,0.00338,0.01711
1781061979.964018106460571,0.01781,0.00025,0.00050,0.00000,0.00000,0.00331,0.02188
1781061979.997349023818970,0.01786,0.00026,0.00050,0.00000,0.00000,0.00344,0.02206
1781061980.030674934387207,0.01064,0.00025,0.00043,0.00000,0.00000,0.00344,0.01477
1781061981.397087097167969,0.01074,0.00027,0.00072,0.00000,0.00000,0.00367,0.01540
1781061981.563728094100952,0.01227,0.00030,0.00065,0.00000,0.00000,0.00318,0.01639
1781061982.196933984756470,0.01141,0.00038,0.00061,0.00000,0.00000,0.00344,0.01584
1781061982.630187034606934,0.00763,0.00036,0.00051,0.00000,0.00000,0.00450,0.01300
1781061982.963459014892578,0.01053,0.00034,0.00048,0.00000,0.00000,0.00414,0.01550
1781061985.762936115264893,0.01977,0.00047,0.00099,0.00000,0.00000,0.00436,0.02560
1781061985.796263933181763,0.01700,0.00035,0.00041,0.00000,0.00000,0.00361,0.02137
1781061985.829595088958740,0.01723,0.00030,0.00037,0.00000,0.00000,0.00361,0.02152
1781061985.862918138504028,0.01297,0.00030,0.00048,0.00000,0.00000,0.00351,0.01726
1781061985.896250009536743,0.01660,0.00031,0.00049,0.00000,0.00000,0.00352,0.02092
1781061985.929572105407715,0.01285,0.00043,0.00052,0.00000,0.00000,0.00399,0.01779
1781061985.962898969650269,0.00882,0.00031,0.00065,0.00000,0.00000,0.00430,0.01408
1781061985.996227025985718,0.00956,0.00038,0.00069,0.00000,0.00000,0.00431,0.01495
1781061986.029554128646851,0.00790,0.00025,0.00051,0.00000,0.00000,0.00362,0.01228
1781061986.062880992889404,0.01287,0.00026,0.00076,0.00000,0.00000,0.00413,0.01803
1781061986.096209049224854,0.00973,0.00020,0.00143,0.00000,0.00000,0.00457,0.01593
1781061986.129534006118774,0.00719,0.00017,0.00044,0.00000,0.00745,0.00442,0.01968
1781061986.862730026245117,0.01018,0.00020,0.00082,0.00038,0.00000,0.00359,0.01517
1781061991.061945915222168,0.01255,0.00025,0.00076,0.00001,0.00000,0.00346,0.01702
1781061992.195068120956421,0.01104,0.00026,0.00052,0.00000,0.00000,0.00325,0.01506
1781061992.228398084640503,0.01245,0.00040,0.00026,0.00000,0.00000,0.00334,0.01647
1781061992.261722087860107,0.01701,0.00023,0.00029,0.00000,0.00000,0.00359,0.02111
1781061992.295053005218506,0.01139,0.00024,0.00054,0.00000,0.00000,0.00339,0.01556
1781061992.328377962112427,0.01673,0.00022,0.00057,0.00000,0.00000,0.00359,0.02112
1781061992.361702919006348,0.01354,0.00021,0.00031,0.00000,0.00000,0.00352,0.01758
1781061992.395030975341797,0.01090,0.00020,0.00038,0.00000,0.00000,0.00389,0.01537
1781061992.428359985351562,0.00840,0.00020,0.00025,0.00000,0.00000,0.00354,0.01240
1781061992.461683988571167,0.00740,0.00025,0.00056,0.00000,0.00000,0.00379,0.01200
1781061992.495017051696777,0.00695,0.00021,0.00041,0.00000,0.00000,0.00343,0.01100
1781061992.528343915939331,0.00772,0.00027,0.00037,0.00000,0.00028,0.00358,0.01222
1781061992.561665058135986,0.00814,0.00030,0.00037,0.00005,0.00333,0.00358,0.01576
1781061995.361149072647095,0.01743,0.00022,0.00089,0.00001,0.00011,0.00313,0.02179
1781061995.394470930099487,0.01317,0.00018,0.00086,0.00000,0.00000,0.00307,0.01727
1781061996.260978937149048,0.01695,0.00019,0.00053,0.00000,0.00000,0.00339,0.02106
1781061996.294305086135864,0.01697,0.00019,0.00057,0.00000,0.00000,0.00325,0.02099
1781061996.327633142471313,0.01822,0.00019,0.00055,0.00000,0.00000,0.00349,0.02245
1781061996.360963106155396,0.01815,0.00019,0.00044,0.00000,0.00000,0.00380,0.02257
1781061996.394285917282104,0.01687,0.00022,0.00038,0.00000,0.00000,0.00321,0.02068
1781061996.427609920501709,0.01740,0.00019,0.00038,0.00000,0.00000,0.00334,0.02131
1781061996.460943937301636,0.01686,0.00018,0.00080,0.00000,0.00000,0.00322,0.02106
1781061996.494271039962769,0.01488,0.00017,0.00031,0.00000,0.00000,0.00356,0.01892
1781061996.527596950531006,0.01292,0.00018,0.00028,0.00000,0.00000,0.00334,0.01672
1781061996.560925960540771,0.01180,0.00017,0.00032,0.00000,0.00023,0.00313,0.01565
1781061996.594247102737427,0.01635,0.00017,0.00096,0.00003,0.00000,0.00307,0.02058
1781061996.627577066421509,0.01694,0.00017,0.00156,0.00000,0.00064,0.00309,0.02240
1781061996.660903930664062,0.01782,0.00015,0.00094,0.00005,0.00000,0.00383,0.02279
1781061996.694230079650879,0.01764,0.00015,0.00013,0.00007,0.00000,0.00340,0.02138
1781061996.727556943893433,0.01701,0.00015,0.00059,0.00005,0.00110,0.00338,0.02229
1781061996.760883092880249,0.01424,0.00015,0.00039,0.00011,0.00007,0.00316,0.01811
1781061996.794208049774170,0.01449,0.00015,0.00050,0.00010,0.00020,0.00312,0.01857
1781061996.827542066574097,0.01685,0.00015,0.00068,0.00007,0.00000,0.00298,0.02072
1781061996.860865116119385,0.01849,0.00015,0.00077,0.00005,0.00034,0.00296,0.02276
1781061996.894197940826416,0.01876,0.00015,0.00054,0.00008,0.00000,0.00303,0.02255
1781061996.927539110183716,0.01788,0.00015,0.00019,0.00009,0.00000,0.00306,0.02136
1781061996.960850954055786,0.01718,0.00014,0.00085,0.00007,0.00000,0.00309,0.02133
1781061996.994174957275391,0.01619,0.00015,0.00046,0.00007,0.00019,0.00328,0.02035
1781061997.027503013610840,0.01278,0.00016,0.00044,0.00009,0.00052,0.00320,0.01718
1781061997.060828924179077,0.01107,0.00021,0.00029,0.00029,0.00000,0.00303,0.01490
